3 left  rightresponse incompatible 1 674 
1 right leftresponse  incompatible 1 518 
1 right leftresponse  incompatible 1 361 
0 left  leftresponse  compatible 1 495 
0 left  leftresponse  compatible 1 376 
0 left  leftresponse  compatible 1 328 
0 left  leftresponse  compatible 1 297 
1 right leftresponse  incompatible 1 433 
2 right rightresponse compatible 2 336 
1 right leftresponse  incompatible 1 675 
1 right leftresponse  incompatible 1 456 
1 right leftresponse  incompatible 1 584 
3 left  rightresponse incompatible 1 504 
2 right rightresponse compatible 1 632 
3 left  rightresponse incompatible 1 624 
2 right rightresponse compatible 1 569 
0 left  leftresponse  compatible 1 575 
1 right leftresponse  incompatible 1 545 
3 left  rightresponse incompatible 1 576 
3 left  rightresponse incompatible 1 512 
3 left  rightresponse incompatible 1 641 
1 right leftresponse  incompatible 1 928 
1 right leftresponse  incompatible 1 384 
2 right rightresponse compatible 1 504 
1 right leftresponse  incompatible 2 456 
2 right rightresponse compatible 1 644 
2 right rightresponse compatible 1 377 
1 right leftresponse  incompatible 1 536 
3 left  rightresponse incompatible 1 589 
3 left  rightresponse incompatible 1 600 
