1 left  leftresponse  compatible 1 1947 
2 right leftresponse  incompatible 1 657 
2 right leftresponse  incompatible 1 641 
3 right rightresponse compatible 1 666 
4 left  rightresponse incompatible 1 608 
3 right rightresponse compatible 1 729 
1 left  leftresponse  compatible 1 625 
3 right rightresponse compatible 1 633 
2 right leftresponse  incompatible 1 680 
3 right rightresponse compatible 1 624 
1 left  leftresponse  compatible 1 674 
3 right rightresponse compatible 1 552 
4 left  rightresponse incompatible 1 633 
1 left  leftresponse  compatible 1 544 
4 left  rightresponse incompatible 1 681 
4 left  rightresponse incompatible 1 504 
1 left  leftresponse  compatible 1 633 
4 left  rightresponse incompatible 1 616 
2 right leftresponse  incompatible 1 553 
3 right rightresponse compatible 1 609 
2 right leftresponse  incompatible 1 609 
1 left  leftresponse  compatible 1 647 
4 left  rightresponse incompatible 1 554 
2 right leftresponse  incompatible 1 551 
1 left  leftresponse  compatible 1 554 
2 right leftresponse  incompatible 1 553 
1 left  leftresponse  compatible 1 505 
4 left  rightresponse incompatible 2 465 
3 right rightresponse compatible 1 543 
2 right leftresponse  incompatible 1 616 
